SEXO,EDAD,a1992,a1993,a1994,a1995,a1996,a1997,a1998,a1999,a2000,a2001,a2002,a2003,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,a2023,a2024,a2025,a2026,a2027,a2028,a2029,a2030,a2031,a2032,a2033,a2034,a2035,a2036,a2037,a2038,a2039,a2040,a2041,a2042,a2043,a2044,a2045,a2046,a2047,a2048,a2049,a2050
1,82,6465,6724,6972,7212,7434,7644,7892,8196,8560,8956,9389,9881,10510,11299,12253,13292,14405,15522,16545,17380,17891,18166,18293,18310,18483,18831,19530,20421,21485,22539,23581,24654,25734,26934,28237,29823,31586,33528,35299,36614,39220,42580,45058,47352,49367,51385,53381,55277,56974,58659,60506,62669,64944,67063,68879,70400,71684,72741,73395
1,83,5508,5736,5979,6213,6441,6654,6856,7094,7381,7724,8097,8503,8968,9555,10289,11175,12142,13176,14216,15177,15965,16440,16714,16850,16887,17068,17437,18097,18947,19952,20952,21947,22974,24009,25157,26403,27916,29598,31450,33143,34411,36894,40091,42461,44661,46600,48544,50469,52301,53946,55580,57371,59462,61661,63713,65479,66965,68226,69272
1,84,4640,4839,5051,5277,5498,5713,5915,6108,6334,6605,6925,7274,7655,8086,8629,9306,10123,11014,11967,12930,13822,14548,14998,15266,15409,15462,15671,16025,16657,17455,18403,19351,20298,21276,22262,23356,24542,25978,27574,29331,30943,32160,34515,37542,39799,41899,43756,45621,47470,49233,50822,52402,54130,56143,58261,60241,61952,63399,64633
1,85,3884,4043,4226,4421,4631,4835,5036,5226,5408,5619,5871,6168,6492,6842,7239,7737,8356,9102,9915,10789,11671,12487,13157,13580,13838,13985,14072,14279,14626,15220,15972,16864,17759,18655,19580,20516,21552,22676,24032,25539,27198,28726,29888,32110,34962,37102,39097,40869,42650,44418,46107,47635,49156,50818,52749,54779,56682,58334,59737
1,86,3217,3360,3505,3672,3850,4041,4229,4413,4588,4757,4952,5183,5455,5750,6070,6431,6884,7444,8119,8857,9649,10449,11192,11805,12198,12444,12612,12711,12920,13252,13811,14517,15353,16194,17036,17908,18791,19767,20826,22100,23516,25074,26514,27619,29706,32380,34398,36285,37968,39660,41343,42956,44419,45877,47467,49311,51250,53072,54659
1,87,2634,2761,2890,3020,3170,3330,3502,3671,3837,3996,4149,4325,4535,4782,5048,5337,5663,6071,6575,7180,7844,8555,9275,9946,10503,10866,11115,11288,11398,11603,11921,12446,13106,13883,14668,15456,16272,17100,18015,19007,20198,21521,22977,24327,25372,27322,29815,31709,33485,35075,36676,38271,39802,41196,42588,44103,45856,47700,49435
1,88,2123,2238,2350,2464,2580,2712,2854,3005,3155,3302,3443,3580,3739,3928,4149,4388,4647,4939,5302,5751,6289,6881,7515,8158,8759,9262,9605,9853,10027,10141,10342,10645,11136,11748,12466,13194,13927,14686,15458,16311,17235,18341,19570,20923,22182,23164,24976,27289,29056,30719,32213,33721,35224,36670,37993,39314,40751,42409,44153
1,89,1678,1780,1880,1978,2077,2178,2293,2416,2548,2677,2806,2929,3052,3195,3363,3559,3772,4002,4261,4582,4978,5453,5975,6535,7105,7642,8099,8427,8664,8832,8949,9145,9433,9888,10452,11112,11782,12458,13161,13876,14665,15520,16542,17676,18926,20093,21011,22684,24816,26456,28005,29401,30812,32221,33580,34828,36075,37431,38992
1,90,1306,1386,1473,1558,1642,1727,1813,1912,2017,2129,2240,2350,2460,2569,2696,2844,3017,3204,3406,3633,3915,4262,4677,5133,5624,6126,6605,7025,7327,7547,7709,7830,8019,8289,8707,9223,9825,10438,11058,11703,12360,13086,13872,14809,15849,16995,18070,18923,20458,22411,23924,25356,26653,27966,29279,30548,31718,32889,34161
1,91,1000,1060,1127,1200,1272,1342,1414,1487,1570,1658,1754,1847,1942,2038,2135,2245,2375,2525,2687,2863,3061,3305,3605,3964,4358,4786,5229,5657,6032,6305,6509,6665,6786,6966,7218,7599,8067,8611,9167,9731,10318,10918,11580,12297,13150,14097,15141,16123,16910,18308,20085,21470,22785,23982,25195,26410,27589,28678,29771
1,92,752,796,847,902,962,1021,1080,1139,1199,1269,1342,1421,1500,1582,1665,1749,1845,1956,2085,2224,2375,2544,2755,3010,3316,3655,4029,4417,4793,5121,5366,5554,5702,5821,5991,6223,6567,6987,7475,7975,8483,9013,9556,10155,10803,11574,12429,13372,14262,14982,16246,17849,19108,20307,21403,22516,23632,24718,25725
1,93,552,586,623,664,709,757,805,853,902,951,1008,1067,1133,1200,1269,1340,1411,1493,1587,1696,1814,1942,2085,2263,2479,2737,3031,3353,3687,4009,4296,4514,4686,4825,4939,5096,5307,5615,5988,6422,6867,7320,7795,8281,8818,9399,10089,10854,11698,12499,13151,14284,15718,16852,17937,18933,19945,20962,21954
1,94,392,420,449,478,510,546,585,623,661,700,739,785,833,888,944,1002,1061,1121,1189,1268,1358,1456,1563,1683,1831,2011,2231,2480,2753,3035,3310,3558,3750,3905,4033,4140,4285,4474,4746,5074,5455,5847,6248,6668,7100,7575,8092,8703,9381,10129,10842,11429,12435,13706,14719,15691,16587,17499,18419
1,95,269,291,314,336,359,384,412,442,471,501,531,562,600,639,683,729,776,825,874,930,995,1069,1149,1238,1336,1458,1608,1792,2000,2226,2462,2695,2907,3075,3212,3328,3427,3557,3724,3962,4248,4578,4920,5270,5637,6016,6434,6887,7423,8018,8674,9303,9824,10708,11824,12719,13582,14381,15196
1,96,182,194,212,229,246,263,282,303,326,348,371,394,419,449,480,515,552,590,629,669,714,766,826,890,962,1043,1142,1266,1417,1587,1772,1968,2162,2341,2485,2605,2708,2797,2912,3059,3263,3509,3793,4086,4389,4706,5035,5397,5791,6255,6770,7340,7888,8347,9115,10083,10866,11623,12328
1,97,119,128,137,150,163,175,188,202,218,234,251,268,286,305,329,353,381,409,439,470,502,537,578,625,676,734,799,879,979,1100,1237,1388,1548,1708,1856,1977,2080,2170,2249,2350,2476,2650,2858,3098,3347,3604,3875,4157,4467,4804,5201,5643,6131,6603,7001,7661,8492,9168,9825
1,98,75,81,87,94,103,113,121,131,141,152,164,176,189,203,217,235,254,275,297,320,343,368,396,428,464,505,551,603,667,744,839,948,1068,1196,1326,1447,1547,1634,1711,1780,1866,1973,2118,2292,2492,2700,2916,3145,3382,3644,3929,4264,4637,5050,5451,5792,6352,7055,7632
1,99,46,49,53,58,63,69,76,82,88,95,103,112,120,130,140,151,164,178,194,210,227,246,265,286,311,342,376,410,451,497,556,629,714,808,910,1012,1109,1192,1264,1328,1387,1459,1548,1668,1811,1975,2147,2326,2515,2712,2930,3168,3447,3758,4103,4439,4728,5196,5784
1,100,72,75,79,84,91,99,109,120,132,144,158,172,189,207,227,248,271,298,327,359,395,434,477,523,573,633,704,779,859,944,1040,1156,1295,1464,1660,1884,2129,2388,2646,2898,3141,3374,3610,3861,4149,4481,4865,5295,5767,6278,6829,7427,8076,8800,9606,10503,11466,12446,13579
2,0,146756,142721,140522,137949,135266,132483,129951,127943,125184,123530,121422,118468,116421,114568,114593,116868,120444,123609,124294,123636,121610,119774,120419,122525,120018,113971,111662,112774,115134,116483,116645,116250,115612,114800,113841,112761,111585,110339,109041,108562,107499,106428,105375,104369,103432,102583,101830,101181,100642,100213,99884,99631,99427,99246,99069,98885,98688,98472,98233
