servicio,sexo,año,n,edad
Arica y Parinacota,F,2012,6286,0-5
Iquique y Tarapaca,F,2012,9361,0-5
Antofagasta,F,2012,13483,0-5
Atacama,F,2012,8949,0-5
Coquimbo,F,2012,20345,0-5
Aconcagua,F,2012,7355,0-5
Valparaiso y San Antonio,F,2012,12140,0-5
Viña del Mar y Quillota,F,2012,22401,0-5
Libertador B. O'Higgins,F,2012,23096,0-5
Maule,F,2012,26044,0-5
Arauco,F,2012,4675,0-5
Bio-Bio y Los Angeles,F,2012,9402,0-5
Concepcion,F,2012,14808,0-5
Ñuble,F,2012,11386,0-5
Talcahuano,F,2012,9058,0-5
Araucanía Norte,F,2012,4406,0-5
Araucanía Sur,F,2012,18329,0-5
Chiloé,F,2012,3879,0-5
Reloncavi,F,2012,10476,0-5
Osorno,F,2012,6290,0-5
Valdivia,F,2012,9933,0-5
Aysen,F,2012,2151,0-5
Magallanes,F,2012,3710,0-5
Metropolitano Central,F,2012,22309,0-5
Metropolitano Norte,F,2012,22568,0-5
Metropolitano Occidente,F,2012,31154,0-5
Metropolitano Oriente,F,2012,14630,0-5
Metropolitano Sur,F,2012,30501,0-5
Metropolitano Sur-Oriente,F,2012,34904,0-5
Arica y Parinacota,F,2012,5923,5-15
Iquique y Tarapaca,F,2012,8590,5-15
Antofagasta,F,2012,12937,5-15
Atacama,F,2012,8301,5-15
Coquimbo,F,2012,19169,5-15
Aconcagua,F,2012,7193,5-15
Valparaiso y San Antonio,F,2012,12369,5-15
Viña del Mar y Quillota,F,2012,22800,5-15
Libertador B. O'Higgins,F,2012,22977,5-15
Maule,F,2012,27238,5-15
Arauco,F,2012,5096,5-15
Bio-Bio y Los Angeles,F,2012,11106,5-15
Concepcion,F,2012,14871,5-15
Ñuble,F,2012,12655,5-15
Talcahuano,F,2012,8919,5-15
Araucanía Norte,F,2012,5357,5-15
Araucanía Sur,F,2012,20020,5-15
Chiloé,F,2012,4825,5-15
Reloncavi,F,2012,11430,5-15
Osorno,F,2012,6568,5-15
Valdivia,F,2012,10277,5-15
Aysen,F,2012,2649,5-15
Magallanes,F,2012,3650,5-15
Metropolitano Central,F,2012,21066,5-15
Metropolitano Norte,F,2012,22397,5-15
Metropolitano Occidente,F,2012,32661,5-15
Metropolitano Oriente,F,2012,15013,5-15
Metropolitano Sur,F,2012,30152,5-15
Metropolitano Sur-Oriente,F,2012,36717,5-15
Arica y Parinacota,F,2012,6327,5-15
Iquique y Tarapaca,F,2012,9080,5-15
Antofagasta,F,2012,13900,5-15
Atacama,F,2012,8511,5-15
Coquimbo,F,2012,20980,5-15
Aconcagua,F,2012,7634,5-15
Valparaiso y San Antonio,F,2012,13708,5-15
Viña del Mar y Quillota,F,2012,25723,5-15
Libertador B. O'Higgins,F,2012,25414,5-15
Maule,F,2012,30394,5-15
Arauco,F,2012,5927,5-15
Bio-Bio y Los Angeles,F,2012,12686,5-15
Concepcion,F,2012,16307,5-15
Ñuble,F,2012,14308,5-15
Talcahuano,F,2012,9891,5-15
Araucanía Norte,F,2012,6249,5-15
Araucanía Sur,F,2012,22354,5-15
Chiloé,F,2012,5875,5-15
Reloncavi,F,2012,12502,5-15
Osorno,F,2012,7488,5-15
Valdivia,F,2012,11506,5-15
Aysen,F,2012,2921,5-15
Magallanes,F,2012,3941,5-15
Metropolitano Central,F,2012,22255,5-15
Metropolitano Norte,F,2012,23867,5-15
Metropolitano Occidente,F,2012,35614,5-15
Metropolitano Oriente,F,2012,16465,5-15
Metropolitano Sur,F,2012,33083,5-15
Metropolitano Sur-Oriente,F,2012,40690,5-15
Arica y Parinacota,F,2012,6839,15-25
Iquique y Tarapaca,F,2012,9539,15-25
Antofagasta,F,2012,15092,15-25
Atacama,F,2012,9652,15-25
Coquimbo,F,2012,23506,15-25
Aconcagua,F,2012,8533,15-25
Valparaiso y San Antonio,F,2012,15264,15-25
Viña del Mar y Quillota,F,2012,28949,15-25
Libertador B. O'Higgins,F,2012,28595,15-25
Maule,F,2012,34913,15-25
Arauco,F,2012,6604,15-25
Bio-Bio y Los Angeles,F,2012,14318,15-25
Concepcion,F,2012,18660,15-25
Ñuble,F,2012,16679,15-25
Talcahuano,F,2012,11347,15-25
Araucanía Norte,F,2012,7446,15-25
Araucanía Sur,F,2012,26154,15-25
Chiloé,F,2012,6352,15-25
Reloncavi,F,2012,13473,15-25
Osorno,F,2012,8426,15-25
Valdivia,F,2012,13340,15-25
Aysen,F,2012,3198,15-25
Magallanes,F,2012,4319,15-25
Metropolitano Central,F,2012,25756,15-25
Metropolitano Norte,F,2012,26510,15-25
Metropolitano Occidente,F,2012,41141,15-25
Metropolitano Oriente,F,2012,19649,15-25
Metropolitano Sur,F,2012,36888,15-25
Metropolitano Sur-Oriente,F,2012,46017,15-25
Arica y Parinacota,F,2012,7323,15-25
Iquique y Tarapaca,F,2012,10540,15-25
Antofagasta,F,2012,16827,15-25
Atacama,F,2012,10381,15-25
Coquimbo,F,2012,25370,15-25
Aconcagua,F,2012,9421,15-25
Valparaiso y San Antonio,F,2012,17092,15-25
Viña del Mar y Quillota,F,2012,32805,15-25
Libertador B. O'Higgins,F,2012,30827,15-25
Maule,F,2012,37671,15-25
Arauco,F,2012,6882,15-25
Bio-Bio y Los Angeles,F,2012,15153,15-25
Concepcion,F,2012,21500,15-25
Ñuble,F,2012,17525,15-25
Talcahuano,F,2012,13239,15-25
Araucanía Norte,F,2012,7962,15-25
Araucanía Sur,F,2012,26774,15-25
Chiloé,F,2012,6365,15-25
Reloncavi,F,2012,14623,15-25
Osorno,F,2012,8785,15-25
Valdivia,F,2012,13973,15-25
Aysen,F,2012,3726,15-25
Magallanes,F,2012,5091,15-25
Metropolitano Central,F,2012,31456,15-25
Metropolitano Norte,F,2012,28446,15-25
Metropolitano Occidente,F,2012,43818,15-25
Metropolitano Oriente,F,2012,23289,15-25
Metropolitano Sur,F,2012,40825,15-25
Metropolitano Sur-Oriente,F,2012,51232,15-25
Arica y Parinacota,F,2012,6619,25-35
Iquique y Tarapaca,F,2012,9999,25-35
Antofagasta,F,2012,15324,25-35
Atacama,F,2012,8675,25-35
Coquimbo,F,2012,21192,25-35
Aconcagua,F,2012,7911,25-35
Valparaiso y San Antonio,F,2012,14816,25-35
Viña del Mar y Quillota,F,2012,28606,25-35
Libertador B. O'Higgins,F,2012,24940,25-35
Maule,F,2012,30176,25-35
Arauco,F,2012,5434,25-35
Bio-Bio y Los Angeles,F,2012,11643,25-35
Concepcion,F,2012,17899,25-35
Ñuble,F,2012,14141,25-35
Talcahuano,F,2012,10719,25-35
Araucanía Norte,F,2012,6215,25-35
Araucanía Sur,F,2012,21850,25-35
Chiloé,F,2012,5557,25-35
Reloncavi,F,2012,12153,25-35
Osorno,F,2012,7053,25-35
Valdivia,F,2012,11319,25-35
Aysen,F,2012,3058,25-35
Magallanes,F,2012,4898,25-35
Metropolitano Central,F,2012,29626,25-35
Metropolitano Norte,F,2012,24306,25-35
Metropolitano Occidente,F,2012,35712,25-35
Metropolitano Oriente,F,2012,22111,25-35
Metropolitano Sur,F,2012,33678,25-35
Metropolitano Sur-Oriente,F,2012,41703,25-35
Arica y Parinacota,F,2012,6188,25-35
Iquique y Tarapaca,F,2012,9606,25-35
Antofagasta,F,2012,15074,25-35
Atacama,F,2012,8169,25-35
Coquimbo,F,2012,20346,25-35
Aconcagua,F,2012,7703,25-35
Valparaiso y San Antonio,F,2012,14397,25-35
Viña del Mar y Quillota,F,2012,27417,25-35
Libertador B. O'Higgins,F,2012,24224,25-35
Maule,F,2012,29829,25-35
Arauco,F,2012,5393,25-35
Bio-Bio y Los Angeles,F,2012,11888,25-35
Concepcion,F,2012,17410,25-35
Ñuble,F,2012,13476,25-35
Talcahuano,F,2012,10373,25-35
Araucanía Norte,F,2012,5771,25-35
Araucanía Sur,F,2012,20879,25-35
Chiloé,F,2012,5761,25-35
Reloncavi,F,2012,11811,25-35
Osorno,F,2012,7123,25-35
Valdivia,F,2012,10363,25-35
Aysen,F,2012,2988,25-35
Magallanes,F,2012,4659,25-35
Metropolitano Central,F,2012,28358,25-35
Metropolitano Norte,F,2012,23453,25-35
Metropolitano Occidente,F,2012,34651,25-35
Metropolitano Oriente,F,2012,23097,25-35
Metropolitano Sur,F,2012,32376,25-35
Metropolitano Sur-Oriente,F,2012,39047,25-35
Arica y Parinacota,F,2012,6060,35-45
Iquique y Tarapaca,F,2012,8463,35-45
Antofagasta,F,2012,14180,35-45
Atacama,F,2012,7745,35-45
Coquimbo,F,2012,20565,35-45
Aconcagua,F,2012,7301,35-45
Valparaiso y San Antonio,F,2012,13657,35-45
Viña del Mar y Quillota,F,2012,26110,35-45
Libertador B. O'Higgins,F,2012,25027,35-45
Maule,F,2012,30382,35-45
Arauco,F,2012,5396,35-45
Bio-Bio y Los Angeles,F,2012,11819,35-45
Concepcion,F,2012,16533,35-45
Ñuble,F,2012,13980,35-45
Talcahuano,F,2012,10237,35-45
Araucanía Norte,F,2012,5727,35-45
Araucanía Sur,F,2012,21206,35-45
Chiloé,F,2012,5614,35-45
Reloncavi,F,2012,11951,35-45
Osorno,F,2012,7438,35-45
Valdivia,F,2012,10285,35-45
Aysen,F,2012,2887,35-45
Magallanes,F,2012,4535,35-45
Metropolitano Central,F,2012,26310,35-45
Metropolitano Norte,F,2012,23852,35-45
Metropolitano Occidente,F,2012,35144,35-45
Metropolitano Oriente,F,2012,23331,35-45
Metropolitano Sur,F,2012,29958,35-45
Metropolitano Sur-Oriente,F,2012,37158,35-45
Arica y Parinacota,F,2012,6206,35-45
Iquique y Tarapaca,F,2012,7875,35-45
Antofagasta,F,2012,13108,35-45
Atacama,F,2012,7863,35-45
Coquimbo,F,2012,20545,35-45
Aconcagua,F,2012,7417,35-45
Valparaiso y San Antonio,F,2012,13669,35-45
Viña del Mar y Quillota,F,2012,26161,35-45
Libertador B. O'Higgins,F,2012,25556,35-45
Maule,F,2012,31089,35-45
Arauco,F,2012,5565,35-45
Bio-Bio y Los Angeles,F,2012,12864,35-45
Concepcion,F,2012,17976,35-45
Ñuble,F,2012,15617,35-45
Talcahuano,F,2012,10889,35-45
Araucanía Norte,F,2012,6175,35-45
Araucanía Sur,F,2012,22221,35-45
Chiloé,F,2012,5593,35-45
Reloncavi,F,2012,12362,35-45
Osorno,F,2012,7521,35-45
Valdivia,F,2012,11167,35-45
Aysen,F,2012,2862,35-45
Magallanes,F,2012,4234,35-45
Metropolitano Central,F,2012,26415,35-45
Metropolitano Norte,F,2012,24379,35-45
Metropolitano Occidente,F,2012,35135,35-45
Metropolitano Oriente,F,2012,23790,35-45
Metropolitano Sur,F,2012,31888,35-45
Metropolitano Sur-Oriente,F,2012,38579,35-45
Arica y Parinacota,F,2012,5983,45-55
Iquique y Tarapaca,F,2012,7548,45-55
Antofagasta,F,2012,12563,45-55
Atacama,F,2012,8334,45-55
Coquimbo,F,2012,21033,45-55
Aconcagua,F,2012,8236,45-55
Valparaiso y San Antonio,F,2012,15118,45-55
Viña del Mar y Quillota,F,2012,29193,45-55
Libertador B. O'Higgins,F,2012,27288,45-55
Maule,F,2012,33090,45-55
Arauco,F,2012,5300,45-55
Bio-Bio y Los Angeles,F,2012,12391,45-55
Concepcion,F,2012,19207,45-55
Ñuble,F,2012,15761,45-55
Talcahuano,F,2012,12101,45-55
Araucanía Norte,F,2012,6452,45-55
Araucanía Sur,F,2012,21760,45-55
Chiloé,F,2012,5429,45-55
Reloncavi,F,2012,12099,45-55
Osorno,F,2012,7654,45-55
Valdivia,F,2012,11949,45-55
Aysen,F,2012,2750,45-55
Magallanes,F,2012,4571,45-55
Metropolitano Central,F,2012,29230,45-55
Metropolitano Norte,F,2012,24583,45-55
Metropolitano Occidente,F,2012,37123,45-55
Metropolitano Oriente,F,2012,24927,45-55
Metropolitano Sur,F,2012,34479,45-55
Metropolitano Sur-Oriente,F,2012,42271,45-55
Arica y Parinacota,F,2012,5579,45-55
Iquique y Tarapaca,F,2012,6964,45-55
Antofagasta,F,2012,12163,45-55
Atacama,F,2012,7451,45-55
Coquimbo,F,2012,18826,45-55
Aconcagua,F,2012,7432,45-55
Valparaiso y San Antonio,F,2012,14451,45-55
Viña del Mar y Quillota,F,2012,28216,45-55
Libertador B. O'Higgins,F,2012,24273,45-55
Maule,F,2012,28829,45-55
Arauco,F,2012,4655,45-55
Bio-Bio y Los Angeles,F,2012,10857,45-55
Concepcion,F,2012,17398,45-55
Ñuble,F,2012,13966,45-55
Talcahuano,F,2012,11203,45-55
Araucanía Norte,F,2012,5730,45-55
Araucanía Sur,F,2012,18772,45-55
Chiloé,F,2012,4397,45-55
Reloncavi,F,2012,9826,45-55
Osorno,F,2012,6810,45-55
Valdivia,F,2012,10679,45-55
Aysen,F,2012,2508,45-55
Magallanes,F,2012,4294,45-55
Metropolitano Central,F,2012,28098,45-55
Metropolitano Norte,F,2012,21994,45-55
Metropolitano Occidente,F,2012,33920,45-55
Metropolitano Oriente,F,2012,23770,45-55
Metropolitano Sur,F,2012,33499,45-55
Metropolitano Sur-Oriente,F,2012,41154,45-55
Arica y Parinacota,F,2012,4693,55-65
Iquique y Tarapaca,F,2012,5859,55-65
Antofagasta,F,2012,9953,55-65
Atacama,F,2012,5974,55-65
Coquimbo,F,2012,15931,55-65
Aconcagua,F,2012,6069,55-65
Valparaiso y San Antonio,F,2012,12371,55-65
Viña del Mar y Quillota,F,2012,23690,55-65
Libertador B. O'Higgins,F,2012,19838,55-65
Maule,F,2012,24287,55-65
Arauco,F,2012,4048,55-65
Bio-Bio y Los Angeles,F,2012,8963,55-65
Concepcion,F,2012,14828,55-65
Ñuble,F,2012,11629,55-65
Talcahuano,F,2012,9456,55-65
Araucanía Norte,F,2012,4989,55-65
Araucanía Sur,F,2012,15884,55-65
Chiloé,F,2012,3617,55-65
Reloncavi,F,2012,7842,55-65
Osorno,F,2012,5626,55-65
Valdivia,F,2012,8558,55-65
Aysen,F,2012,2008,55-65
Magallanes,F,2012,3579,55-65
Metropolitano Central,F,2012,22860,55-65
Metropolitano Norte,F,2012,17624,55-65
Metropolitano Occidente,F,2012,27714,55-65
Metropolitano Oriente,F,2012,21279,55-65
Metropolitano Sur,F,2012,27572,55-65
Metropolitano Sur-Oriente,F,2012,33803,55-65
Arica y Parinacota,F,2012,4280,55-65
Iquique y Tarapaca,F,2012,4617,55-65
Antofagasta,F,2012,8256,55-65
Atacama,F,2012,4974,55-65
Coquimbo,F,2012,13037,55-65
Aconcagua,F,2012,4990,55-65
Valparaiso y San Antonio,F,2012,10537,55-65
Viña del Mar y Quillota,F,2012,19785,55-65
Libertador B. O'Higgins,F,2012,15865,55-65
Maule,F,2012,20061,55-65
Arauco,F,2012,3193,55-65
Bio-Bio y Los Angeles,F,2012,7533,55-65
Concepcion,F,2012,12446,55-65
Ñuble,F,2012,9672,55-65
Talcahuano,F,2012,7723,55-65
Araucanía Norte,F,2012,4205,55-65
Araucanía Sur,F,2012,13441,55-65
Chiloé,F,2012,3069,55-65
Reloncavi,F,2012,6486,55-65
Osorno,F,2012,4849,55-65
Valdivia,F,2012,7381,55-65
Aysen,F,2012,1583,55-65
Magallanes,F,2012,2872,55-65
Metropolitano Central,F,2012,19334,55-65
Metropolitano Norte,F,2012,15042,55-65
Metropolitano Occidente,F,2012,23567,55-65
Metropolitano Oriente,F,2012,19240,55-65
Metropolitano Sur,F,2012,22502,55-65
Metropolitano Sur-Oriente,F,2012,26961,55-65
Arica y Parinacota,F,2012,3899,65-75
Iquique y Tarapaca,F,2012,3629,65-75
Antofagasta,F,2012,6894,65-75
Atacama,F,2012,4082,65-75
Coquimbo,F,2012,11426,65-75
Aconcagua,F,2012,4350,65-75
Valparaiso y San Antonio,F,2012,9837,65-75
Viña del Mar y Quillota,F,2012,18735,65-75
Libertador B. O'Higgins,F,2012,13535,65-75
Maule,F,2012,16834,65-75
Arauco,F,2012,2576,65-75
Bio-Bio y Los Angeles,F,2012,6813,65-75
Concepcion,F,2012,10514,65-75
Ñuble,F,2012,8602,65-75
Talcahuano,F,2012,6999,65-75
Araucanía Norte,F,2012,3848,65-75
Araucanía Sur,F,2012,12282,65-75
Chiloé,F,2012,2745,65-75
Reloncavi,F,2012,5717,65-75
Osorno,F,2012,4342,65-75
Valdivia,F,2012,6640,65-75
Aysen,F,2012,1233,65-75
Magallanes,F,2012,2708,65-75
Metropolitano Central,F,2012,17278,65-75
Metropolitano Norte,F,2012,13281,65-75
Metropolitano Occidente,F,2012,20976,65-75
Metropolitano Oriente,F,2012,18983,65-75
Metropolitano Sur,F,2012,20023,65-75
Metropolitano Sur-Oriente,F,2012,22551,65-75
Arica y Parinacota,F,2012,2858,65-75
Iquique y Tarapaca,F,2012,2691,65-75
Antofagasta,F,2012,5638,65-75
Atacama,F,2012,3334,65-75
Coquimbo,F,2012,9567,65-75
Aconcagua,F,2012,3462,65-75
Valparaiso y San Antonio,F,2012,8056,65-75
Viña del Mar y Quillota,F,2012,15552,65-75
Libertador B. O'Higgins,F,2012,10519,65-75
Maule,F,2012,13443,65-75
Arauco,F,2012,2058,65-75
Bio-Bio y Los Angeles,F,2012,5561,65-75
Concepcion,F,2012,8685,65-75
Ñuble,F,2012,7161,65-75
Talcahuano,F,2012,5756,65-75
Araucanía Norte,F,2012,3203,65-75
Araucanía Sur,F,2012,10421,65-75
Chiloé,F,2012,2503,65-75
Reloncavi,F,2012,4862,65-75
Osorno,F,2012,3643,65-75
Valdivia,F,2012,5683,65-75
Aysen,F,2012,1018,65-75
Magallanes,F,2012,2341,65-75
Metropolitano Central,F,2012,13652,65-75
Metropolitano Norte,F,2012,10820,65-75
Metropolitano Occidente,F,2012,16345,65-75
Metropolitano Oriente,F,2012,16493,65-75
Metropolitano Sur,F,2012,16192,65-75
Metropolitano Sur-Oriente,F,2012,16532,65-75
Arica y Parinacota,F,2012,2124,>75
Iquique y Tarapaca,F,2012,1940,>75
Antofagasta,F,2012,4117,>75
Atacama,F,2012,2485,>75
Coquimbo,F,2012,7427,>75
Aconcagua,F,2012,2597,>75
Valparaiso y San Antonio,F,2012,6404,>75
Viña del Mar y Quillota,F,2012,12371,>75
Libertador B. O'Higgins,F,2012,7954,>75
Maule,F,2012,9966,>75
Arauco,F,2012,1527,>75
Bio-Bio y Los Angeles,F,2012,4056,>75
Concepcion,F,2012,6112,>75
Ñuble,F,2012,5261,>75
Talcahuano,F,2012,4096,>75
Araucanía Norte,F,2012,2536,>75
Araucanía Sur,F,2012,8209,>75
Chiloé,F,2012,1864,>75
Reloncavi,F,2012,3475,>75
Osorno,F,2012,2876,>75
Valdivia,F,2012,4281,>75
Aysen,F,2012,704,>75
Magallanes,F,2012,1737,>75
Metropolitano Central,F,2012,10269,>75
Metropolitano Norte,F,2012,8241,>75
Metropolitano Occidente,F,2012,11543,>75
Metropolitano Oriente,F,2012,13108,>75
Metropolitano Sur,F,2012,12801,>75
Metropolitano Sur-Oriente,F,2012,11450,>75
Arica y Parinacota,F,2012,2782,>75
Iquique y Tarapaca,F,2012,2775,>75
Antofagasta,F,2012,5601,>75
Atacama,F,2012,3235,>75
Coquimbo,F,2012,9965,>75
Aconcagua,F,2012,3757,>75
Valparaiso y San Antonio,F,2012,9642,>75
Viña del Mar y Quillota,F,2012,18724,>75
Libertador B. O'Higgins,F,2012,10924,>75
Maule,F,2012,13333,>75
Arauco,F,2012,1970,>75
Bio-Bio y Los Angeles,F,2012,5647,>75
Concepcion,F,2012,8679,>75
Ñuble,F,2012,6949,>75
Talcahuano,F,2012,5311,>75
Araucanía Norte,F,2012,3408,>75
Araucanía Sur,F,2012,11270,>75
Chiloé,F,2012,2667,>75
Reloncavi,F,2012,4596,>75
Osorno,F,2012,3802,>75
Valdivia,F,2012,5821,>75
Aysen,F,2012,849,>75
Magallanes,F,2012,2404,>75
Metropolitano Central,F,2012,15737,>75
Metropolitano Norte,F,2012,11948,>75
Metropolitano Occidente,F,2012,15459,>75
Metropolitano Oriente,F,2012,25048,>75
Metropolitano Sur,F,2012,19798,>75
Metropolitano Sur-Oriente,F,2012,15170,>75
Arica y Parinacota,F,2013,6641,0-5
Iquique y Tarapaca,F,2013,9416,0-5
Antofagasta,F,2013,13344,0-5
Atacama,F,2013,8866,0-5
Coquimbo,F,2013,21029,0-5
Aconcagua,F,2013,7156,0-5
Valparaiso y San Antonio,F,2013,12589,0-5
Viña del Mar y Quillota,F,2013,22751,0-5
Libertador B. O'Higgins,F,2013,23026,0-5
Maule,F,2013,25919,0-5
Arauco,F,2013,4889,0-5
Bio-Bio y Los Angeles,F,2013,9810,0-5
Concepcion,F,2013,15371,0-5
Ñuble,F,2013,11585,0-5
Talcahuano,F,2013,8818,0-5
Araucanía Norte,F,2013,4635,0-5
Araucanía Sur,F,2013,18604,0-5
Chiloé,F,2013,3735,0-5
Reloncavi,F,2013,10359,0-5
Osorno,F,2013,6225,0-5
Valdivia,F,2013,10036,0-5
Aysen,F,2013,2164,0-5
Magallanes,F,2013,3514,0-5
Metropolitano Central,F,2013,21809,0-5
Metropolitano Norte,F,2013,22315,0-5
Metropolitano Occidente,F,2013,30313,0-5
Metropolitano Oriente,F,2013,14171,0-5
Metropolitano Sur,F,2013,30390,0-5
Metropolitano Sur-Oriente,F,2013,34822,0-5
Arica y Parinacota,F,2013,6352,5-15
Iquique y Tarapaca,F,2013,8623,5-15
Antofagasta,F,2013,12656,5-15
Atacama,F,2013,8287,5-15
Coquimbo,F,2013,19598,5-15
Aconcagua,F,2013,7237,5-15
Valparaiso y San Antonio,F,2013,12389,5-15
Viña del Mar y Quillota,F,2013,22899,5-15
Libertador B. O'Higgins,F,2013,23156,5-15
Maule,F,2013,27268,5-15
Arauco,F,2013,5107,5-15
Bio-Bio y Los Angeles,F,2013,11111,5-15
Concepcion,F,2013,14762,5-15
Ñuble,F,2013,12705,5-15
Talcahuano,F,2013,8831,5-15
Araucanía Norte,F,2013,5480,5-15
Araucanía Sur,F,2013,19943,5-15
Chiloé,F,2013,4676,5-15
Reloncavi,F,2013,11459,5-15
Osorno,F,2013,6781,5-15
Valdivia,F,2013,10309,5-15
Aysen,F,2013,2686,5-15
Magallanes,F,2013,3496,5-15
Metropolitano Central,F,2013,20914,5-15
Metropolitano Norte,F,2013,22695,5-15
Metropolitano Occidente,F,2013,32462,5-15
Metropolitano Oriente,F,2013,14718,5-15
Metropolitano Sur,F,2013,29797,5-15
Metropolitano Sur-Oriente,F,2013,36287,5-15
Arica y Parinacota,F,2013,6480,5-15
Iquique y Tarapaca,F,2013,8763,5-15
Antofagasta,F,2013,13190,5-15
Atacama,F,2013,8237,5-15
Coquimbo,F,2013,20685,5-15
Aconcagua,F,2013,7394,5-15
Valparaiso y San Antonio,F,2013,13331,5-15
Viña del Mar y Quillota,F,2013,24801,5-15
Libertador B. O'Higgins,F,2013,24778,5-15
Maule,F,2013,29664,5-15
Arauco,F,2013,5834,5-15
Bio-Bio y Los Angeles,F,2013,12499,5-15
Concepcion,F,2013,16073,5-15
Ñuble,F,2013,13877,5-15
Talcahuano,F,2013,9488,5-15
Araucanía Norte,F,2013,6057,5-15
Araucanía Sur,F,2013,21595,5-15
Chiloé,F,2013,5678,5-15
Reloncavi,F,2013,12402,5-15
Osorno,F,2013,7321,5-15
Valdivia,F,2013,11156,5-15
Aysen,F,2013,2855,5-15
Magallanes,F,2013,3564,5-15
Metropolitano Central,F,2013,21523,5-15
Metropolitano Norte,F,2013,23226,5-15
Metropolitano Occidente,F,2013,34153,5-15
Metropolitano Oriente,F,2013,15721,5-15
Metropolitano Sur,F,2013,31913,5-15
Metropolitano Sur-Oriente,F,2013,39354,5-15
Arica y Parinacota,F,2013,6973,15-25
Iquique y Tarapaca,F,2013,9399,15-25
Antofagasta,F,2013,14692,15-25
Atacama,F,2013,9249,15-25
Coquimbo,F,2013,22469,15-25
Aconcagua,F,2013,8138,15-25
Valparaiso y San Antonio,F,2013,14816,15-25
Viña del Mar y Quillota,F,2013,27966,15-25
Libertador B. O'Higgins,F,2013,27875,15-25
Maule,F,2013,33384,15-25
Arauco,F,2013,6494,15-25
Bio-Bio y Los Angeles,F,2013,14000,15-25
Concepcion,F,2013,17881,15-25
Ñuble,F,2013,15839,15-25
Talcahuano,F,2013,10716,15-25
Araucanía Norte,F,2013,7133,15-25
Araucanía Sur,F,2013,24574,15-25
Chiloé,F,2013,6117,15-25
Reloncavi,F,2013,13246,15-25
Osorno,F,2013,8261,15-25
Valdivia,F,2013,12526,15-25
Aysen,F,2013,3100,15-25
Magallanes,F,2013,4135,15-25
Metropolitano Central,F,2013,24791,15-25
Metropolitano Norte,F,2013,25979,15-25
Metropolitano Occidente,F,2013,39454,15-25
Metropolitano Oriente,F,2013,18659,15-25
Metropolitano Sur,F,2013,35423,15-25
Metropolitano Sur-Oriente,F,2013,44301,15-25
Arica y Parinacota,F,2013,7620,15-25
Iquique y Tarapaca,F,2013,10670,15-25
Antofagasta,F,2013,17121,15-25
Atacama,F,2013,10459,15-25
Coquimbo,F,2013,25638,15-25
Aconcagua,F,2013,9379,15-25
Valparaiso y San Antonio,F,2013,17017,15-25
Viña del Mar y Quillota,F,2013,32710,15-25
Libertador B. O'Higgins,F,2013,30924,15-25
Maule,F,2013,37966,15-25
Arauco,F,2013,6834,15-25
Bio-Bio y Los Angeles,F,2013,15424,15-25
Concepcion,F,2013,21526,15-25
Ñuble,F,2013,17465,15-25
Talcahuano,F,2013,13141,15-25
Araucanía Norte,F,2013,7977,15-25
Araucanía Sur,F,2013,26993,15-25
Chiloé,F,2013,6465,15-25
Reloncavi,F,2013,14920,15-25
Osorno,F,2013,8927,15-25
Valdivia,F,2013,14010,15-25
Aysen,F,2013,3753,15-25
Magallanes,F,2013,4949,15-25
Metropolitano Central,F,2013,31022,15-25
Metropolitano Norte,F,2013,28649,15-25
Metropolitano Occidente,F,2013,43376,15-25
Metropolitano Oriente,F,2013,22997,15-25
Metropolitano Sur,F,2013,40306,15-25
Metropolitano Sur-Oriente,F,2013,50709,15-25
Arica y Parinacota,F,2013,7362,25-35
Iquique y Tarapaca,F,2013,10387,25-35
Antofagasta,F,2013,16229,25-35
Atacama,F,2013,9054,25-35
Coquimbo,F,2013,22840,25-35
Aconcagua,F,2013,8330,25-35
Valparaiso y San Antonio,F,2013,15555,25-35
Viña del Mar y Quillota,F,2013,29846,25-35
Libertador B. O'Higgins,F,2013,26786,25-35
Maule,F,2013,32119,25-35
Arauco,F,2013,5761,25-35
Bio-Bio y Los Angeles,F,2013,12350,25-35
Concepcion,F,2013,18993,25-35
Ñuble,F,2013,15043,25-35
Talcahuano,F,2013,11297,25-35
Araucanía Norte,F,2013,6527,25-35
Araucanía Sur,F,2013,22896,25-35
Chiloé,F,2013,5755,25-35
Reloncavi,F,2013,12719,25-35
Osorno,F,2013,7449,25-35
Valdivia,F,2013,11606,25-35
Aysen,F,2013,3258,25-35
Magallanes,F,2013,5009,25-35
Metropolitano Central,F,2013,31009,25-35
Metropolitano Norte,F,2013,25439,25-35
Metropolitano Occidente,F,2013,37110,25-35
Metropolitano Oriente,F,2013,22489,25-35
Metropolitano Sur,F,2013,35115,25-35
Metropolitano Sur-Oriente,F,2013,43381,25-35
Arica y Parinacota,F,2013,6660,25-35
Iquique y Tarapaca,F,2013,9874,25-35
Antofagasta,F,2013,15386,25-35
Atacama,F,2013,8230,25-35
Coquimbo,F,2013,20822,25-35
Aconcagua,F,2013,7783,25-35
Valparaiso y San Antonio,F,2013,14765,25-35
Viña del Mar y Quillota,F,2013,27963,25-35
Libertador B. O'Higgins,F,2013,24553,25-35
Maule,F,2013,30474,25-35
Arauco,F,2013,5599,25-35
Bio-Bio y Los Angeles,F,2013,12164,25-35
Concepcion,F,2013,17704,25-35
Ñuble,F,2013,13782,25-35
Talcahuano,F,2013,10291,25-35
